muni_id,type_of_violence,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,year,month
484002001,2,0,0,0,0,0,2005,1
484002001,2,0,0,0,59,59,2006,1
484002001,2,0,0,0,118,118,2007,1
484002001,2,0,0,0,4,4,2007,12
484002001,2,0,0,0,6,6,2008,11
484002001,2,0,0,0,0,0,2008,2
484002001,2,0,0,0,0,0,2009,2
484002001,2,0,0,0,0,0,2010,1
484002002,2,0,0,0,1,1,2007,11
484002002,2,0,0,0,0,0,2009,11
484002003,2,0,0,0,1,1,2007,6
484002003,2,0,0,0,2,2,2007,8
484002003,2,0,0,0,0,0,2009,3
484002003,2,0,0,0,0,0,2009,7
484002004,2,0,0,0,0,0,2005,1
484002004,2,0,0,0,1,1,2007,10
484002004,2,0,0,0,7,7,2007,11
484002004,2,0,0,0,2,2,2007,12
484002004,2,0,0,0,1,1,2007,5
484002004,2,0,0,0,5,5,2007,6
484002004,2,0,0,0,2,2,2007,8
484002004,2,0,0,0,2,2,2007,9
484002004,2,0,0,0,52,52,2008,10
484002004,2,0,0,0,65,65,2008,11
484002004,2,5,0,0,11,16,2008,12
484002004,2,0,0,0,0,0,2008,2
484002004,2,0,0,0,0,0,2008,3
484002004,2,0,0,0,14,14,2008,4
484002004,2,0,0,0,0,0,2008,6
484002004,2,0,0,0,0,0,2008,7
484002004,2,0,3,0,2,5,2008,8
484002004,2,0,0,0,27,27,2008,9
484002004,2,0,0,0,10,10,2009,1
484002004,2,0,0,0,3,3,2009,10
484002004,2,0,1,0,21,22,2009,12
484002004,2,0,0,0,4,4,2009,3
484002004,2,0,0,0,0,0,2009,5
484002004,2,0,0,0,8,8,2009,6
484002004,2,0,0,0,0,0,2009,9
484002004,2,0,0,0,49,49,2010,1
484002004,2,0,0,0,0,0,2010,10
484002004,2,0,0,0,5,5,2010,2
484004003,2,0,0,0,1,1,2007,12
484005023,2,0,0,0,17,17,2006,1
484005023,2,0,0,0,23,23,2007,1
484005025,2,0,0,0,1,1,2007,8
484005025,2,0,0,0,1,1,2010,3
484005030,2,0,0,0,3,3,2007,9
484005033,2,0,0,0,17,17,2010,7
484005035,2,0,0,0,8,8,2009,2
484005035,2,0,0,0,10,10,2010,1
484005035,2,0,0,0,8,8,2010,5
