shapeName,shapeISO,shapeID,shapeGroup,shapeType,CNTRY_NAME,ADMIN_NAME,CNTRY_CODE,IPUM2015,MUNI2015,PARENT
Asientos,None,MEX-ADM2-1590546715-B1,MEX,ADM2,Mexico,Asientos,484,001002,1002,001
San Francisco de los Romo,None,MEX-ADM2-1590546715-B2,MEX,ADM2,Mexico,San Francisco de los Romo,484,001011,1011,001
Rinc�n de Romos,None,MEX-ADM2-1590546715-B3,MEX,ADM2,Mexico,Rincón de Romos,484,001007,1007,001
San Jos� de Gracia,None,MEX-ADM2-1590546715-B4,MEX,ADM2,Mexico,San José de Gracia,484,001008,1008,001
Jes�s Mar�a,None,MEX-ADM2-1590546715-B5,MEX,ADM2,Mexico,Jesús María,484,001005,1005,001
Tepezal�,None,MEX-ADM2-1590546715-B6,MEX,ADM2,Mexico,Tepezalá,484,001009,1009,001
Aguascalientes,None,MEX-ADM2-1590546715-B7,MEX,ADM2,Mexico,Aguascalientes,484,001001,1001,001
Pabell�n de Arteaga,None,MEX-ADM2-1590546715-B8,MEX,ADM2,Mexico,Pabellón de Arteaga,484,001006,1006,001
El Llano,None,MEX-ADM2-1590546715-B9,MEX,ADM2,Mexico,El Llano,484,001010,1010,001
Calvillo,None,MEX-ADM2-1590546715-B10,MEX,ADM2,Mexico,Calvillo,484,001003,1003,001
Cos�o,None,MEX-ADM2-1590546715-B11,MEX,ADM2,Mexico,Cosío,484,001004,1004,001
Playas de Rosarito,None,MEX-ADM2-1590546715-B12,MEX,ADM2,Mexico,Playas de Rosarito,484,002005,2005,002
Tecate,None,MEX-ADM2-1590546715-B13,MEX,ADM2,Mexico,Tecate,484,002003,2003,002
Tijuana,None,MEX-ADM2-1590546715-B14,MEX,ADM2,Mexico,Tijuana,484,002004,2004,002
Mexicali,None,MEX-ADM2-1590546715-B15,MEX,ADM2,Mexico,Mexicali,484,002002,2002,002
Ensenada,None,MEX-ADM2-1590546715-B16,MEX,ADM2,Mexico,Ensenada,484,002001,2001,002
Los Cabos,None,MEX-ADM2-1590546715-B17,MEX,ADM2,Mexico,Los Cabos,484,003008,3008,003
Loreto,None,MEX-ADM2-1590546715-B18,MEX,ADM2,Mexico,Loreto,484,003009,3009,003
La Paz,None,MEX-ADM2-1590546715-B19,MEX,ADM2,Mexico,La Paz,484,003003,3003,003
Comond�,None,MEX-ADM2-1590546715-B20,MEX,ADM2,Mexico,Comondú,484,003001,3001,003
Muleg�,None,MEX-ADM2-1590546715-B21,MEX,ADM2,Mexico,Mulegé,484,003002,3002,003
Palizada,None,MEX-ADM2-1590546715-B22,MEX,ADM2,Mexico,Palizada,484,004007,4007,004
Campeche,None,MEX-ADM2-1590546715-B23,MEX,ADM2,Mexico,Campeche,484,004002,4002,004
Calakmul,None,MEX-ADM2-1590546715-B24,MEX,ADM2,Mexico,Calakmul,484,004010,4010,004
Champot�n,None,MEX-ADM2-1590546715-B26,MEX,ADM2,Mexico,Champotón,484,004004,4004,004
Candelaria,None,MEX-ADM2-1590546715-B27,MEX,ADM2,Mexico,Candelaria,484,004011,4011,004
Calkin�,None,MEX-ADM2-1590546715-B28,MEX,ADM2,Mexico,Calkiní,484,004001,4001,004
Tenabo,None,MEX-ADM2-1590546715-B29,MEX,ADM2,Mexico,Tenabo,484,004008,4008,004
Esc�rcega,None,MEX-ADM2-1590546715-B30,MEX,ADM2,Mexico,Escárcega,484,004009,4009,004
Hopelch�n,None,MEX-ADM2-1590546715-B31,MEX,ADM2,Mexico,Hopelchén,484,004006,4006,004
Hecelchak�n,None,MEX-ADM2-1590546715-B32,MEX,ADM2,Mexico,Hecelchakán,484,004005,4005,004
Torre�n,None,MEX-ADM2-1590546715-B33,MEX,ADM2,Mexico,Torreón,484,005035,5035,005
Nava,None,MEX-ADM2-1590546715-B34,MEX,ADM2,Mexico,Nava,484,005022,5022,005
M�zquiz,None,MEX-ADM2-1590546715-B35,MEX,ADM2,Mexico,Múzquiz,484,005020,5020,005
