muni_id,migrants
484008006,109.55548858642578
484008008,60.41480255126953
484008011,42.88042068481445
484008016,39.86730194091797
484008017,138.30453491210938
484008019,52.22264099121094
484008024,154.85670471191406
484008028,96.85114288330078
484008029,127.09828186035156
484008032,38.44763946533203
484008038,106.62763214111328
484008039,76.74186706542969
484008041,111.17264556884766
484008045,108.71387481689453
484008046,114.53849029541016
484008049,98.19098663330078
484008055,138.9900665283203
484008061,123.79138946533203
484008063,127.67437744140625
484008064,138.16397094726562
484026001,127.70429229736328
484026005,6.484827995300293
484026008,145.75315856933594
484026009,100.33277130126953
484026012,67.0
484026014,100.7310562133789
484026018,249.0
484026020,128.28578186035156
484026021,103.51019287109375
484026024,143.33203125
484026025,107.37711334228516
484026026,27.0
484026028,127.66407012939453
484026029,90.0
484026030,117.0
484026034,92.72429656982422
484026037,30.672178268432617
484026038,108.08061981201172
484026040,48.72278594970703
484026044,119.56153106689453
484026049,128.3073272705078
484026050,121.88818359375
484026051,53.749427795410156
484026052,99.61680603027344
484026053,72.03858184814453
484026054,91.47840881347656
484026056,100.0810775756836
484026057,113.5293960571289
484026061,128.42013549804688
484026062,128.1789093017578
484026063,104.53688049316406
484026066,102.92427825927734
484026068,109.0090103149414
484026069,74.38379669189453
484001001,1366.0
484001002,642.0
484001003,1076.0
484001004,244.0
484001005,315.0
484001006,343.0
484001007,412.0
484001008,343.0
484002001,410.0
484002002,367.0
484002003,69.0
484002004,815.0
484003001,126.0
484004001,4.0
484004002,54.0
484004003,14.0
484004004,24.0
484004005,12.0
484004006,0.0
484005001,131.0
484005002,179.0
484005003,25.0
484005004,2.0
484005005,22.0
484005006,61.0
484005007,22.0
484005008,284.0
484005009,89.0
484005010,56.0
484005011,23.0
484005012,20.0
484005013,0.0
484005014,41.0
484005015,56.0
484005016,48.0
484005017,134.0
484005018,215.0
484005019,39.0
484005020,106.0
484005021,9.0
484005022,57.0
484005023,2.0
484005024,0.0
484005025,110.0
484005026,55.0
484005027,24.0
484005028,98.0
484005029,7.0
484005030,168.0
484005031,35.0
484005032,53.0
484005033,88.0
484005034,41.0
484005035,298.0
484005036,41.0
484005037,25.0
484005038,54.0
484006001,253.0
484006002,258.0
484006003,165.0
484006004,211.0
484006005,127.0
484006006,184.0
484006007,159.0
484006008,213.0
484006009,328.0
484007001,37.0
484007002,7.0
484007003,57.0
484007004,0.0
484007005,8.0
484007006,32.0
484007007,0.0
484007008,18.0
484007009,29.0
484007010,33.0
484007011,135.0
484007012,0.0
484007013,7.0
484007014,0.0
484007015,146.0
484007016,7.0
484007017,0.0
484007018,19.0
484007019,63.0
484007020,28.0
484007021,31.0
484007022,0.0
484007023,38.0
484007024,0.0
484007025,9.0
484007026,4.0
484007027,4.0
484007028,7.0
484007029,8.0
484007030,49.0
484007031,0.0
484007032,38.0
484007033,0.0
484007034,53.0
484007035,129.0
484007036,114.0
484007037,28.0
484007038,5.0
484007039,0.0
484007040,29.0
484007041,51.0
484007042,5.0
484007043,0.0
484007044,0.0
484007045,53.0
484007046,0.0
484007047,0.0
484007048,30.0
484007049,0.0
484007050,4.0
484007051,41.0
484007052,15.0
484007053,23.0
484007054,11.0
484007055,34.0
484007056,0.0
484007057,72.0
484007058,0.0
484007059,0.0
484007060,0.0
484007061,0.0
484007062,16.0
484007063,0.0
484007064,0.0
484007065,25.0
484007066,6.0
484007067,0.0
484007068,127.0
484007069,38.0
484007070,44.0
484007071,4.0
484007072,0.0
484007073,0.0
484007074,32.0
484007075,4.0
484007076,45.0
484007077,6.0
484007078,21.0
484007079,0.0
484007080,36.0
484007081,0.0
484007082,0.0
484007083,14.0
484007084,0.0
484007085,0.0
484007086,0.0
484007087,30.0
484007088,0.0
484007089,221.0
484007090,36.0
484007091,5.0
484007093,10.0
484007094,8.0
484007095,0.0
484007096,0.0
484007097,32.0
484007098,0.0
484007099,76.0
484007100,0.0
484007101,93.0
484007102,15.0
484007103,24.0
484007104,34.0
484007105,42.0
484007106,18.0
484007107,9.0
484007108,4.0
484007109,0.0
484007110,0.0
484008001,46.0
484008002,40.0
484008003,100.0
484008004,22.0
484008005,55.0
484008007,46.0
484008009,17.0
484008010,112.0
484008012,429.0
484008013,64.0
484008014,117.0
484008015,107.0
484008018,200.0
484008020,0.0
484008021,248.0
484008022,430.0
484008023,243.0
484008025,266.0
484008026,468.0
484008027,0.0
484008030,40.0
484008031,28.0
484008033,241.0
484008034,190.0
484008035,168.0
484008036,34.0
484008037,832.0
484008040,134.0
484008042,22.0
484008043,86.0
484008044,170.0
484008047,65.0
484008048,146.0
484008050,86.0
484008051,24.0
484008052,68.0
484008053,21.0
484008054,157.0
484008056,97.0
484008057,193.0
484008058,156.0
484008059,86.0
484008060,89.0
484008062,70.0
484008065,14.0
484009001,0.0
484009002,209.0
484009003,393.0
484009004,93.0
484009005,1112.0
484009006,360.0
484010001,171.0
484010002,99.0
484010003,441.0
484010004,247.0
484010005,1113.0
484010006,410.0
484010007,240.0
484010008,391.0
484010009,121.0
